,word1,word2,feq
0,온라인,커뮤니티,200
1,사회적,거리,79
2,유튜브,튜브,58
3,배달,배달음식,46
4,거리,기가,45
5,신종,코로나,44
6,코로나,확산,43
7,코로나,감염증,42
8,관광,공사,40
9,스타,그램,38
10,인스타그램,스타,36
11,취재,본부,35
12,배달,주문,35
13,일상,회복,32
14,배달기사,기사,31
15,거리,해제,30
16,보배,보배드림,30
17,보배드림,드림,30
18,용산,용산구,30
19,송파,송파구,30
20,분석,결과,30
21,마포,마포구,29
22,보도,리포트,29
23,다이닝,이닝,28
24,한국관광공사,관광,28
25,밀키트,키트,27
26,코로나,사태,27
27,이태원,참사,27
28,코로나,여파,27
29,요청사항,사항,26
30,커뮤니티,보배,26
31,신메뉴,메뉴,26
32,김유리,유리,26
33,이미지,뱅크,25
34,최대,규모,25
35,호남,호남취재본부,24
36,호남취재본부,취재,24
37,종로,종로구,24
38,대구치,대구치맥페스티벌,24
39,이탈,이탈리안,24
40,스타트,스타트업,23
41,테마,테마파크,23
42,연합,연합뉴스,23
43,라스,라스베이거스,23
44,라스베이거스,베이,23
45,베이,거스,23
46,호텔,호텔업계,22
47,단양,단양군,22
48,강남,강남구,22
49,치킨,맥주,22
50,대구치맥페스티벌,페스티벌,22
51,튜브,채널,21
52,치킨,치킨집,21
53,요청,요청사항,21
54,커뮤니티,캡처,21
55,테마파크,파크,21
56,기가,해제,21
57,축제,개최,21
58,치킨,프랜차이즈,20
59,예능,예능프로그램,20
60,전진영,진영,20
61,배달,배달기사,20
62,소상공인,상공인,20
63,엘리베이터,고장,20
64,청주,청주시,20
65,해남,해남군,20
66,수원,수원시,20
67,페이스,페이스북,20
68,햄버거,가게,20
69,두류,두류공원,20
70,두류공원,공원,20
71,방송,예능,19
72,코로나,장기화,19
73,공원,일원,19
74,농특산물,특산물,19
75,포리스트,리스트,19
76,리스트,키친,19
77,주년,강원도,19
78,강원도,진짜,19
79,진짜,맛집,19
80,맛집,지도,19
81,지도,로드,19
82,커뮤니티,사장,18
83,배달비가,비가,18
84,인공,인공지능,18
85,인공지능,지능,18
86,배달,배달앱,18
87,가정,가정간편식,18
88,일상회복,회복,18
89,현지,미식가,18
90,미식가,그룹,18
91,향토,향토음식,17
92,배달,기사,17
93,현장,취재,17
94,자영업자,온라인,17
95,코로나,데믹,17
96,미쉐린,쉐린,17
97,달서,달서구,17
98,불꽃,축제,17
99,고장,아파트,17
100,대표,축제,17
101,일상,일상회복,17
102,오프,오프라인,17
103,오프라인,라인,17
104,춘천,춘천시,17
105,강원도,춘천,17
106,입소문,소문,17
107,간편식,편식,16
108,코로나,이전,16
109,관광,재단,16
110,취재,리포트,16
111,우영우,영우,16
112,배달,민족,16
113,스타,셰프,16
114,경연,경연대회,16
115,경연대회,대회,16
116,롯데,롯데월드몰,16
117,롯데월드몰,월드,16
118,전통,전통시장,16
119,호캉스,캉스,16
120,지법,형사,16
121,한강,한강공원,16
122,구독자,만명,16
123,보유,유튜버,16
124,사진,파이낸셜,15
125,체육,관광,15
126,대한민국,대표,15
127,코로나,중단,15
128,전주,전주시,15
129,메뉴,개발,15
130,형사,단독,15
131,음식값,환불,15
132,옥천,옥천군,15
133,대체육,체육,15
134,환불,의혹,15
135,만명,보유,15
136,강원도,원도,15
137,사기,행각,15
138,주문,취소,14
139,핫플레이스,플레이스,14
140,일반,일반음식점,14
141,취재,취재기자,14
